hcpcs_code,hcpcs_desc,hcpcs_effectivedt,hcpcs_terminationdt
E1011,"MODIFICATION TO PEDIATRIC SIZE WHEELCHAIR, WIDTH ADJUSTMENT PACKAGE (NOT TO BEDISPENSED WITH INITIAL CHAIR)                                           ",2005-01-01 05:00:00,
E1012,"INTEGRATED SEATING SYSTEM, PLANAR, FOR PEDIATRIC WHEELCHAIR                                                                                           ",2005-01-01 05:00:00,1104469200000.0
E1013,"INTEGRATED SEATING SYSTEM, CONTOURED, FOR PEDIATRIC WHEELCHAIR                                                                                        ",2005-01-01 05:00:00,1104469200000.0
E1014,"RECLINING BACK, ADDITION TO PEDIATRIC SIZE WHEELCHAIR                                                                                                 ",2005-01-01 05:00:00,
E1015,"SHOCK ABSORBER FOR MANUAL WHEELCHAIR, EACH                                                                                                            ",2003-01-01 05:00:00,
E1016,"SHOCK ABSORBER FOR POWER WHEELCHAIR, EACH                                                                                                             ",2003-01-01 05:00:00,
E1017,"HEAVY DUTY SHOCK ABSORBER FOR HEAVY DUTY OR EXTRA HEAVY DUTY MANUAL WHEELCHAIR,EACH                                                                   ",2003-01-01 05:00:00,
E1018,"HEAVY DUTY SHOCK ABSORBER FOR HEAVY DUTY OR EXTRA HEAVY DUTY POWER WHEELCHAIR,EACH                                                                    ",2003-01-01 05:00:00,
E1020,RESIDUAL LIMB SUPPORT SYSTEM FOR WHEELCHAIR                                                                                                           ,2003-01-01 05:00:00,
E1028,"WHEELCHAIR ACCESSORY, MANUAL SWINGAWAY, RETRACTABLE OR REMOVABLE MOUNTINGHARDWARE FOR JOYSTICK, OTHER CONTROL INTERFACE OR POSITIONING ACCESSOR       ",2004-01-01 05:00:00,
E1029,"WHEELCHAIR ACCESSORY, VENTILATOR TRAY, FIXED                                                                                                          ",2004-01-01 05:00:00,
E1030,"WHEELCHAIR ACCESSORY, VENTILATOR TRAY, GIMBALED                                                                                                       ",2004-01-01 05:00:00,
E1031,"ROLLABOUT CHAIR, ANY AND ALL TYPES WITH CASTORS 5"" OR GREATER                                                                                         ",1990-01-01 05:00:00,
E1037,"TRANSPORT CHAIR, PEDIATRIC SIZE                                                                                                                       ",2003-01-01 05:00:00,
E1038,"TRANSPORT CHAIR, ADULT SIZE, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300POUNDS                                                                    ",2006-01-01 05:00:00,
E1039,"TRANSPORT CHAIR, ADULT SIZE, HEAVY DUTY, PATIENT WEIGHT CAPACITY GREATER THAN300 POUNDS                                                               ",2006-01-01 05:00:00,
E1050,"FULLY-RECLINING WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLEELEVATING LEG RESTS                                                          ",1984-01-01 05:00:00,
E1060,"FULLY-RECLINING WHEELCHAIR, DETACHABLE ARMS, DESK OR FULL LENGTH, SWING AWAYDETACHABLE ELEVATING LEGRESTS                                             ",1989-01-01 05:00:00,
E1065,"POWER ATTACHMENT (TO CONVERT ANY WHEELCHAIR TO MOTORIZED WHEELCHAIR, E.G., SOLO)                                                                      ",2004-01-01 05:00:00,1072846800000.0
E1066,BATTERY CHARGER                                                                                                                                       ,2004-01-01 05:00:00,1072846800000.0
E1069,DEEP CYCLE BATTERY                                                                                                                                    ,2004-01-01 05:00:00,1072846800000.0
E1070,"FULLY-RECLINING WHEELCHAIR, DETACHABLE ARMS (DESK OR FULL LENGTH) SWING AWAYDETACHABLE FOOTREST                                                       ",1989-01-01 05:00:00,
E1083,"HEMI-WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE ELEVATING LEGREST                                                                      ",1989-01-01 05:00:00,
